+----------------------------------+----------------------+-----------------------+-----------------------+-----------------------+------------------------+------------------------+-----------------------+----------------------+------------------------+------------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+------------------------+
|              Metric              |          P1          |           P2          |           P3          |           P4          |           P5           |           P6           |           P7          |          P8          |           P9           |          P10           |          P11          |          P12          |          P13          |          P14          |          P15          |          P16           |
|         Weighted Support         | 0.043478260869565216 |  0.04057971014492753  |  0.03768115942028986  |  0.034782608695652174 |  0.034782608695652174  |  0.034782608695652174  |  0.03188405797101449  | 0.03188405797101449  |  0.017391304347826087  |  0.017391304347826087  |  0.014492753623188406 |  0.014492753623188406 |  0.02608695652173913  |  0.008695652173913044 |  0.008695652173913044 |  0.008695652173913044  |
|      Weighted Rule Support       | 0.034782608695652174 |  0.03188405797101449  |  0.028985507246376812 |  0.02608695652173913  |  0.011594202898550725  |  0.020289855072463767  |  0.02318840579710145  | 0.02608695652173913  |  0.011594202898550725  |  0.008695652173913044  |  0.014492753623188406 |  0.014492753623188406 |  0.008695652173913044 |  0.008695652173913044 |  0.008695652173913044 |  0.005797101449275362  |
|       Weighted Confidence        |         0.8          |   0.7857142857142857  |   0.7692307692307692  |          0.75         |   0.3333333333333333   |   0.5833333333333333   |   0.7272727272727273  |  0.8181818181818181  |   0.6666666666666666   |          0.5           |          1.0          |          1.0          |  0.33333333333333337  |          1.0          |          1.0          |   0.6666666666666666   |
|          Weighted Lift           |  1.6331360946745563  |   1.6039729501267963  |   1.5703231679563041  |   1.5310650887573964  |   1.0952380952380951   |   1.1908284023668638   |   1.4846691769768692  |  1.6702528240989778  |   1.3609467455621302   |   1.6428571428571428   |   2.0414201183431953  |   2.0414201183431953  |   1.619718309859155   |   2.0414201183431953  |   2.0414201183431953  |   1.3609467455621302   |
|     Statistical Significance     | 0.024160339706084038 |  0.01103093498343478  |  0.002363085377681168 |  0.08426212390052656  |   0.0755937785981739   |  0.035679638940769004  |  0.039239116293122274 |  0.0550333567554027  |  0.01144499454202004   | 0.0010730635233147999  |  0.008538828039286135 | 0.0016300962150690474 |   0.0724209564939095  |  0.05203897079958766  |  0.09957987436583017  |  0.03173473089330602   |
|           FleBiC Score           | 0.021527829267414627 |  0.008543322360715281 | 0.0015645765522622273 |  0.04673785873787857  |  0.010306434919931969  |  0.006605137034647757  |   0.017789367220328   | 0.04116821821417877  | 0.0027656570345825212  | 0.00030506338195339497 |  0.006927888300393628 | 0.0013225614153294177 |  0.01781254247454943  |  0.028241876532102902 |  0.05404262370508639  |  0.00612799242092023   |
+----------------------------------+----------------------+-----------------------+-----------------------+-----------------------+------------------------+------------------------+-----------------------+----------------------+------------------------+------------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+------------------------+
+----------------------------------+-----------------------+-----------------------+----------------------+-----------------------+------------------------+------------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+----------------------+----------------------+------------------------+
|              Metric              |           P1          |           P2          |          P3          |           P4          |           P5           |           P6           |           P7          |           P8          |           P9          |          P10          |          P11          |          P12          |          P13          |         P14          |         P15          |          P16           |
+----------------------------------+-----------------------+-----------------------+----------------------+-----------------------+------------------------+------------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+-----------------------+----------------------+----------------------+------------------------+
|  Outcome selected for analysis   |          0.0          |          0.0          |         0.0          |          1.0          |          0.0           |          0.0           |          0.0          |          0.0          |          0.0          |          3.0          |          0.0          |          0.0          |          0.0          |         0.0          |         0.0          |          3.0           |
|         Information Gain         |  0.04018283402626755  |   0.0543061222802939  | 0.07342109550259769  |  0.004790282379805249 |  0.006103157361612863  |  0.006103157361612863  |  0.05506621431855401  |  0.05506621431855401  |  0.031873652427408555 |  0.017025805300346475 |  0.06882811152306247  |  0.18315443815301732  |  0.03501428742734509  | 0.16594560746257125  | 0.16594560746257125  |  0.01479651279902523   |
|           Chi-squared            |   5.1115383873394755  |   6.523569115825043   |  8.247572428236516   |   0.5800846929879186  |   0.6517639164240288   |   0.6517639164240288   |   5.492557683349757   |   5.492557683349757   |   1.9903335313534247  |   1.251293794959375   |   3.6182587203375376  |   7.988915715539948   |   3.012156549682192   |  4.765318146111548   |  4.765318146111548   |   0.6201587668000411   |
